,id0,id1,points_0,points_1
0,Colorado State,Oregon State,58.0,27.0
0,Hawaii,Massachusetts,38.0,35.0
0,San Jose State,South Florida,22.0,42.0
0,Rice,Stanford,7.0,62.0
0,Indiana,Ohio State,21.0,49.0
0,Oklahoma State,Tulsa,59.0,24.0
0,FIU,UCF,17.0,61.0
0,Buffalo,Minnesota,7.0,17.0
0,La.-Monroe,Memphis,29.0,37.0
0,Arizona State,New Mexico State,37.0,31.0
0,Rutgers,Washington,14.0,30.0
0,Utah State,Wisconsin,10.0,59.0
0,Charlotte,E. Michigan,7.0,24.0
0,FAU,Navy,19.0,42.0
0,Colorado,Colorado State,17.0,3.0
0,Boston College,N. Illinois,23.0,20.0
0,Alabama,Florida State,24.0,7.0
0,Southern Cal,W. Michigan,49.0,31.0
0,Clemson,Kent State,56.0,3.0
0,Akron,Penn State,0.0,52.0
0,Oklahoma,UTEP,56.0,7.0
0,Florida,Michigan,17.0,33.0
0,Auburn,Georgia Southern,41.0,7.0
0,Appalachian State,Georgia ,10.0,31.0
0,Louisville,Purdue,35.0,28.0
0,Maryland,Texas,51.0,43.0
0,Ball State,Illinois,21.0,24.0
0,Iowa,Wyoming,24.0,3.0
0,Bowling Green,Michigan State,10.0,35.0
0,California,North Carolina,35.0,30.0
0,N.C. State,South Carolina,28.0,35.0
0,Notre Dame,Temple,49.0,16.0
0,Nevada,Northwestern,20.0,31.0
0,Boise State,Troy,24.0,13.0
0,Kentucky,Southern Miss,24.0,17.0
0,Marshall,"Miami, OH",31.0,26.0
0,Coastal Carolina,Massachusetts,38.0,28.0
0,Mississippi,South Alabama,47.0,27.0
0,Arkansas State,Nebraska,36.0,43.0
0,MTSU,Vanderbilt,6.0,28.0
0,BYU,LSU,0.0,27.0
0,Virginia Tech,West Virginia,31.0,24.0
0,Texas A&M,UCLA,44.0,45.0
0,Georgia Tech,Tennessee,41.0,42.0
0,Oklahoma State,South Alabama,44.0,7.0
0,Ohio,Purdue,21.0,44.0
0,Alabama,Fresno State,41.0,10.0
0,Ohio State,Oklahoma,16.0,31.0
0,Auburn,Clemson,6.0,14.0
0,Penn State,Pittsburgh,33.0,14.0
0,Southern Cal,Stanford,42.0,24.0
0,Cincinnati,Michigan,14.0,36.0
0,FAU,Wisconsin,14.0,31.0
0,Georgia,Notre Dame,20.0,19.0
0,Louisville,North Carolina,47.0,35.0
0,Charlotte,Kansas State,7.0,55.0
0,Boise State,Washington State,44.0,47.0
0,Arkansas,TCU,7.0,28.0
0,Duke,Northwestern,41.0,17.0
0,East Carolina,West Virginia,20.0,56.0
0,Army,Buffalo,21.0,17.0
0,Iowa,Iowa State,44.0,41.0
